Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Citilink,6/6/2022,Banyuwangi,Jakarta,BWX→ CGK,08:10,09:50,1h 40m,non-stops,No info,1353379
Citilink,6/6/2022,Banyuwangi,Bandung,BWX→ CGK →DPS→BDO,08:10,14:55,6h 45m,2 stops,No info,3058108
Citilink,6/6/2022,Banyuwangi,Bandung,BWX→ CGK →DPS→BDO,08:10,17:20,33h 10m,2 stops,No info,3193751
Sriwijaya Air,6/6/2022,Banyuwangi,Bandung,BWX→ CGK →DPS→BDO,08:10,17:20,9h 10m,2 stops,No info,3193751
Citilink,6/6/2022,Banyuwangi,Semarang,BWX → CGK → SRG,08:10,03:40,19h 30m,1 stops,No info,1850880
Batik Air,6/6/2022,Banyuwangi,Semarang,BWX → CGK → SRG,08:10,10:35,2h 25m,1 stops,No info,1854895
Citilink,6/6/2022,Banyuwangi,Semarang,BWX → CGK → SRG,08:10,13:40,5h 30m,1 stops,No info,2042755
Citilink,6/6/2022,Banyuwangi,Semarang,BWX → CGK→ PNK→SRG,08:10,09:11,1h 1m,1 stops,No info,2305153
Lion Air,6/6/2022,Banyuwangi,Semarang,BWX → CGK→ PNK→SRG,08:10,11:50,27h 40m,2 stops,No info,4204862
Citilink,6/6/2022,Banyuwangi,Semarang,BWX → CGK → SRG,08:10,09:10,25h,1 stops,No info,2441979
Citilink,6/6/2022,Banyuwangi,Yogyakarta,BWX → CGK → YIA,08:10,21:25,13h 15m,1 stops,No info,1906690
Batik Air,6/6/2022,Banyuwangi,Yogyakarta,BWX → CGK → YIA,07:10,09:45,2h 35m,1 stops,No info,1908122
Citilink,6/6/2022,Banyuwangi,Yogyakarta,BWX → CGK → YIA,08:10,10:25,2h 15m,1 stops,No info,1933271
Wings Air,6/6/2022,Banyuwangi,Yogyakarta,BWX → CGK → YIA,08:10,20:20,12h 10m,1 stops,No info,2029726
Garuda Indonesia,6/6/2022,Banyuwangi,Yogyakarta,BWX → CGK → YIA,08:10,10:45,2h 35m,1 stops,No info,2370399
Citilink,6/6/2022,Banyuwangi ,Yogyakarta,BWX → CGK → YIA,08:10,10:45,26h 35m,1 stops,No info,2508579
Citilink,6/6/2022,Banyuwangi,Yogyakarta,BWX → CGK → YIA,08:10,12:40,4h 30m,1 stops,No info,2508579
Sriwijaya Air,6/6/2022,Banyuwangi,Yogyakarta,BWX → SUB → JOG,08:10,06:45,22h 35m,1 stops,No info,3368784
Citilink,6/6/2022,Banyuwangi,Yogyakarta,BWX → CGK → BTH→SUB→JOG,08:10,07:10,23h,3 stops,No info,4854202
Citilink,6/6/2022,Banyuwangi,Sidoarjo,BWX → CGK →SUB,08:10,04:45,20h 35m,1 stops,No info,1995184
Citilink,6/6/2022,Banyuwangi,Sidoarjo,BWX → CGK →SUB,08:10,13:20,5h 10m,1 stops,No info,2010334
Citilink,6/6/2022,Banyuwangi,Sidoarjo,BWX → CGK →SUB,08:10,23:30,15h 20m,1 stops,No info,2036392
Sriwijaya Air,6/6/2022,Banyuwangi,Sidoarjo,BWX → CGK →BPN→SUB,08:10,11:00,2h 50m,3 stops,No info,3818982
Garuda Indonesia,6/6/2022,Banyuwangi,Sidoarjo,BWX → CGK →SUB,07:30,10:25,2h 55m,1 stops,No info,2891710
Batik Air,6/6/2022,Banyuwangi,Malang,BWX → CGK →MLG,08:10,21:30,13h 20m,1 stops,No info,2253542
Batik Air,6/6/2022,Banyuwangi,Malang,BWX → CGK →MLG,08:10,23:20,15h 10m,1 stops,No info,2332982
Batik Air,31/5/2022,Yogyakarta,Jawa barat,JOG→CGK,09:36,13:11,3h 35m,1 stops,No info,2759948
Wings Air,31/5/2022,Yogyakarta,Jawa barat ,JOG→CGK,09:36,15:36,6h ,1 stops,No info,2398700
Lion Air,31/5/2022,Yogyakarta,Tangerang,JOG→CGK,09:36,13:11,3h 35m,1 stops,No info,2297000
Batik Air,31/5/2022,Yogyakarta,Tangerang,JOG→CGK,09:36,14:36,5h,1 stops,No info,2398700
Super Air Jet,31/5/2022,Yogyakarta,Tangerang,JOG→CGK,09:36,16:21,6h 45m,1 stops,No info,2132700
Wings Air,31/5/2022,Yogyakarta,Surabaya,JOG→SUB,10:48,11:53,1h 5m,non-stops,No info,1475000
Wings Air,31/5/2022,Yogyakarta,Bandung,JOG→BDO,09:36,10:46,1h 10m,non-stops,No info,1297800
Lion Air,31/5/2022,Surabaya,Tangerang,SUB→CGK,09:36,11:06,1h 30m,non-stops,No info,813100
